x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
1.365599,2.761526,-38.977,-158.56,-0.0469,0.0898,-0.1613
1.365314,2.761766,-38.9781,-158.106,-0.0469,0.0898,-0.1613
1.365219,2.761847,-38.9785,-158.106,-0.0469,0.0898,-0.1613
1.365314,2.761766,-38.9781,-158.106,-0.0469,0.0898,-0.1613
1.361227,2.765212,-38.9943,-158.106,-0.0469,0.0898,-0.1613
1.453817,2.818317,-37.2897,-157.98,-0.0469,0.0898,-0.1613
1.414516,2.78529,-38.1196,-157.98,-0.0469,0.0898,-0.1613
1.410172,2.788959,-38.1382,-157.98,-0.0469,0.0898,-0.1613
1.348827,2.840754,-38.3953,-158.4,-0.0469,0.0898,-0.1613
1.386666,2.809215,-38.234,-158.4,-0.0469,0.0898,-0.1613
1.37719,2.817174,-38.2742,-160.122,0.0039,0.125,-0.1613
1.378882,2.815755,-38.267,-160.122,0.0039,0.125,-0.1613
1.374379,2.774313,-38.7374,-156.22,0.0039,0.125,-0.1613
1.363452,2.72856,-39.3408,-160.3,0.0039,0.125,-0.1613
1.39329,2.851271,-37.7377,-160.3,0.0039,0.125,-0.1613
1.363682,2.724735,-39.3773,-160.3,0.0039,0.125,-0.1613
1.414722,2.935225,-36.6677,-159.116,0.0039,0.125,-0.1613
1.432401,3.014705,-35.7165,-160.32,0.0039,0.125,-0.1613
1.372184,2.787492,-38.6325,-160.32,0.0039,0.125,-0.1613
1.381483,2.777683,-38.6141,-159.26,0.0039,0.125,-0.1613
1.392963,2.826367,-37.9854,-159.26,-0.0078,0.1367,-0.1612
1.386267,2.846237,-37.8749,-159.48,-0.0078,0.1367,-0.1612
1.400451,2.906882,-37.1137,-159.48,-0.0078,0.1367,-0.1612
1.372937,2.787691,-38.6211,-159.48,-0.0078,0.1367,-0.1612
1.360658,2.686438,-39.8137,-159.48,-0.0078,0.1367,-0.1612
1.371579,2.73113,-39.2122,-158.118,-0.0078,0.1367,-0.1612
1.347811,2.633016,-40.5425,-158.118,-0.0078,0.1367,-0.1612
1.348698,2.636564,-40.4933,-158.118,-0.0078,0.1367,-0.1612
1.347811,2.633016,-40.5425,-158.8,-0.0078,0.1367,-0.1612
1.276637,3.505806,-33.5332,-158.8,-0.0078,0.1367,-0.1612
1.276377,3.504952,-33.5426,-158.8,-0.0078,0.1367,-0.1612
1.276637,3.505806,-33.5332,-158.66,-0.0078,0.1367,-0.1612
1.364134,2.769603,-38.9135,-158.66,-0.0078,0.1367,-0.1612
1.341403,2.707822,-39.8315,-158.66,-0.0078,0.1367,-0.1612
1.339936,2.702039,-39.9101,-157.18,-0.0078,0.1367,-0.1612
1.341403,2.707822,-39.8315,-157.18,-0.0078,0.1367,-0.1612
1.486379,3.249506,-33.0417,-156.84,-0.0078,0.1367,-0.1612
1.441624,3.070093,-35.1085,-156.84,-0.0078,0.1367,-0.1612
1.44291,3.069304,-35.0993,-156.84,-0.0078,0.1367,-0.1612
1.438956,3.054275,-35.2812,-156.84,-0.0078,0.1367,-0.1612
1.423679,2.996706,-35.9886,-158.28,-0.0078,0.1367,-0.1612
1.375358,2.797678,-38.4908,-158.28,-0.0078,0.1367,-0.1612
1.389816,2.858332,-37.7127,-158.28,-0.0078,0.1367,-0.1612
1.45885,3.124786,-34.4195,-155.6,0.0117,0.1328,-0.1611
1.467989,3.161086,-33.9979,-155.6,0.0117,0.1328,-0.1611
1.45885,3.124786,-34.4195,-155.6,0.0117,0.1328,-0.1611
3.036492,3.569659,-8.9707,-158.38,0.0117,0.1328,-0.1611
3.177326,3.452574,-6.9796,-158.38,0.0117,0.1328,-0.1611
1.380686,3.517432,-32.2498,-158.38,0.0117,0.1328,-0.1611
1.382697,3.524546,-32.1741,-157.6,0.0117,0.1328,-0.1611
1.406388,3.607466,-31.3028,-157.6,0.0117,0.1328,-0.1611
1.416805,3.647261,-30.9041,-157.6,0.0117,0.1328,-0.1611
1.415918,3.643791,-30.9384,-157.6,0.0117,0.1328,-0.1611
1.416805,3.647261,-30.9041,-157.6,0.0117,0.1328,-0.1611
1.512803,3.530881,-30.5884,-156.118,0.0117,0.1328,-0.1611
1.523746,3.573003,-30.1607,-156.118,0.0117,0.1328,-0.1611
1.500514,3.479491,-31.1063,-156.118,0.0117,0.1328,-0.1611
1.526698,3.575623,-30.107,-157.48,0.0117,0.1328,-0.1611
1.518494,3.534112,-30.4971,-157.48,0.0117,0.1328,-0.1611
1.541646,3.63144,-29.5452,-157.48,0.0117,0.1328,-0.1611
1.553315,3.683267,-29.0597,-153.46,0.0117,0.1328,-0.1611
1.576794,3.790484,-28.0915,-153.46,0.0117,0.1328,-0.1611
1.525025,3.539889,-30.3775,-153.46,0.0117,0.1328,-0.1611
1.545344,3.627115,-29.5303,-158.66,0.0117,0.1328,-0.1611
1.570878,3.742123,-28.4682,-158.66,0.0117,0.1328,-0.1611
1.550948,3.646867,-29.3302,-158.66,0.0117,0.1328,-0.1611
1.610303,3.919286,-26.9155,-158.11,-0.0273,0.1602,-0.1614
1.86402,3.560106,-25.9948,-160.14,-0.0273,0.1602,-0.1614
1.850009,3.486896,-26.651,-160.14,-0.0273,0.1602,-0.1614
1.821977,3.344122,-27.999,-158.22,-0.0273,0.1602,-0.1614
1.857213,3.514055,-26.379,-157.104,-0.0273,0.1602,-0.1614
1.850681,3.468585,-26.7633,-156.54,-0.0273,0.1602,-0.1614
1.849427,3.46148,-26.8271,-156.54,-0.0273,0.1602,-0.1614
1.850681,3.468585,-26.7633,-156.54,-0.0273,0.1602,-0.1614
2.009541,3.569656,-24.0154,-156.0,-0.0547,0.1445,-0.1613
1.988787,3.444631,-25.0677,-156.0,-0.0547,0.1445,-0.1613
1.877223,3.630756,-25.3841,-156.0,-0.0547,0.1445,-0.1613
2.06863,1.958161,-38.027,-156.14,-0.0547,0.1445,-0.1613
2.089927,2.176603,-34.752,-156.28,-0.043,0.1328,-0.1616
2.065526,1.924256,-38.5702,-156.28,-0.043,0.1328,-0.1616
2.055774,1.824502,-40.244,-158.96,-0.043,0.1328,-0.1616
2.051706,1.783149,-40.9675,-158.96,-0.043,0.1328,-0.1616
2.082825,2.101594,-35.8261,-156.14,-0.043,0.1328,-0.1616
2.072091,1.991456,-37.4966,-156.14,-0.043,0.1328,-0.1616
2.072838,1.99909,-37.3772,-158.112,-0.043,0.1328,-0.1616
2.064491,2.001058,-37.5008,-158.112,-0.043,0.1328,-0.1616
2.068064,1.972413,-37.8358,-155.58,-0.0156,0.1328,-0.1615
2.059334,2.036144,-37.1133,-155.58,-0.0156,0.1328,-0.1615
2.056462,2.041389,-37.0937,-155.58,-0.0156,0.1328,-0.1615
2.111251,2.185757,-34.2593,-155.58,-0.0156,0.1328,-0.1615
2.074992,2.219098,-34.4976,-157.116,-0.0156,0.1328,-0.1615
2.123022,2.174909,-34.1804,-157.116,-0.0156,0.1328,-0.1615
2.131667,2.16693,-34.1219,-157.116,-0.0156,0.1328,-0.1615
2.124947,2.173133,-34.1674,-157.116,-0.0156,0.1328,-0.1615
2.087137,2.031792,-36.6712,-157.68,-0.0156,0.1328,-0.1615
2.06452,1.803666,-40.4081,-157.68,-0.0156,0.1328,-0.1615
2.064662,1.80509,-40.3832,-157.68,-0.0156,0.1328,-0.1615
2.066655,2.096905,-36.1758,-155.8,-0.0156,0.1328,-0.1615
2.058883,2.016918,-37.3833,-155.8,-0.0156,0.1328,-0.1615
2.025423,1.976483,-38.5428,-155.8,-0.0156,0.1328,-0.1615
2.029992,1.995367,-38.1966,-156.122,-0.0156,0.1328,-0.1615
2.041935,2.037423,-37.406,-156.122,-0.0156,0.1328,-0.1615
2.0234,2.049002,-37.5764,-156.122,-0.0156,0.1328,-0.1615
2.037459,2.071341,-37.0295,-156.122,-0.0156,0.1328,-0.1615
2.028183,2.066866,-37.2524,-158.126,-0.0156,0.1328,-0.1615
2.041617,2.024817,-37.5834,-158.126,-0.0156,0.1328,-0.1615
2.042606,1.998116,-37.934,-158.126,-0.0156,0.1328,-0.1615
2.041617,2.024817,-37.5834,-158.126,-0.0156,0.1328,-0.1615
1.937108,3.565081,-25.0062,-158.2,-0.0156,0.1328,-0.1615
1.937108,3.565081,-25.0062,-158.2,-0.0156,0.1328,-0.1615
1.963649,2.088219,-38.0826,-158.2,0.0078,0.1406,-0.1615
1.944496,3.60658,-24.6562,-157.84,0.0078,0.1406,-0.1615
1.953241,1.997277,-39.5056,-157.84,0.0078,0.1406,-0.1615
1.970099,1.959807,-39.7491,-158.54,0.0078,0.1406,-0.1615
1.963461,1.978665,-39.5939,-158.54,0.0078,0.1406,-0.1615
1.976267,2.014039,-38.876,-158.54,0.0078,0.1406,-0.1615
1.967397,1.91431,-40.4589,-157.3,0.0078,0.1406,-0.1615
1.967888,1.919873,-40.3684,-157.3,0.0078,0.1406,-0.1615
1.967397,1.91431,-40.4589,-157.3,0.0078,0.1406,-0.1615
1.976423,3.567607,-24.4697,-157.3,0.0078,0.1406,-0.1615
1.97786,3.576021,-24.3998,-156.6,0.0078,0.1406,-0.1615
1.950102,3.41419,-25.792,-156.6,0.0078,0.1406,-0.1615
1.947935,3.394205,-25.9536,-156.6,0.0078,0.1406,-0.1615
1.98099,3.602844,-24.1977,-156.124,0.0078,0.1406,-0.1615
1.969532,3.52303,-24.8348,-156.124,0.0078,0.1406,-0.1615
1.95037,3.395895,-25.9092,-156.124,0.0078,0.1406,-0.1615
1.953003,3.430275,-25.6473,-156.124,0.0078,0.1406,-0.1615
1.944015,3.379917,-26.1025,-154.8,0.0078,0.1406,-0.1615
1.959792,3.457488,-25.3793,-154.8,0.0078,0.1406,-0.1615
1.95323,1.854886,-41.5987,-156.102,0.0078,0.1406,-0.1615
1.934748,1.844213,-42.0808,-156.102,0.0078,0.1406,-0.1615
1.923661,1.725668,-44.1693,-157.4,-0.0117,0.1133,-0.1614
1.932567,1.822369,-42.4579,-156.11,-0.0117,0.1133,-0.1614
1.906236,1.847559,-42.5133,-156.11,-0.0117,0.1133,-0.1614
1.900382,1.853155,-42.5254,-156.11,-0.0117,0.1133,-0.1614
1.996025,2.710251,-30.6178,-157.46,-0.0117,0.1133,-0.1614
1.957774,2.347636,-34.9737,-157.46,-0.0117,0.1133,-0.1614
1.9794,2.542173,-32.517,-157.46,-0.0117,0.1133,-0.1614
1.98743,2.616121,-31.6496,-157.46,-0.0117,0.1133,-0.1614
1.977731,2.525847,-32.7113,-157.46,-0.0117,0.1133,-0.1614
1.995788,2.691817,-30.7932,-157.46,-0.0117,0.1133,-0.1614
1.992161,2.657676,-31.1731,-155.4,-0.0352,0.1953,-0.1614
1.990611,2.64317,-31.3366,-155.4,-0.0352,0.1953,-0.1614
1.973281,2.481173,-33.2499,-155.4,-0.0352,0.1953,-0.1614
1.990611,2.64317,-31.3366,-153.3,-0.0234,0.0586,-0.1616
2.710177,3.59695,-13.895,-153.3,-0.0234,0.0586,-0.1616
2.66726,2.672584,-19.2391,-153.3,-0.0234,0.0586,-0.1616
2.676883,2.862499,-17.8738,-153.3,-0.0234,0.0586,-0.1616
2.714171,1.309502,-34.0769,-153.3,-0.0234,0.0586,-0.1616
2.756238,1.264029,-33.7238,-154.32,-0.0234,0.0586,-0.1616
2.764043,1.255505,-33.657,-154.32,-0.0234,0.0586,-0.1616
2.752262,1.099628,-37.6298,-154.32,-0.0234,0.0586,-0.1616
2.762481,1.139806,-36.3081,-153.0,-0.0234,0.0586,-0.1616
2.751273,1.059352,-38.7009,-153.0,-0.0234,0.0586,-0.1616
2.757547,1.136527,-36.5478,-153.0,-0.0234,0.0586,-0.1616
2.73967,1.130226,-37.2785,-153.0,-0.0234,0.0586,-0.1616
2.792312,1.078557,-36.828,-153.54,-0.0234,0.0586,-0.1616
2.777276,1.049855,-38.0842,-153.54,-0.0234,0.0586,-0.1616
2.787854,1.052514,-37.6547,-153.54,-0.0234,0.0586,-0.1616
2.787393,2.136144,-20.8272,-153.12,-0.0234,0.0586,-0.1616
2.788261,1.052092,-37.6519,-153.12,-0.0977,0.1719,-0.1615
2.769058,1.072311,-37.7724,-152.108,-0.0977,0.1719,-0.1615
2.793329,1.046961,-37.6138,-152.108,-0.0977,0.1719,-0.1615
2.76284,1.079127,-37.8034,-152.108,-0.0977,0.1719,-0.1615
2.766749,1.075055,-37.7785,-152.108,-0.0977,0.1719,-0.1615
2.771564,1.07003,-37.7476,-152.112,-0.0977,0.1719,-0.1615
