x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
3.805216,1.439949,171.8891,-9.54,-0.0312,0.1172,-0.1648
3.80417,1.449373,171.9816,-9.54,-0.0312,0.1172,-0.1648
3.505495,3.593251,-1.5066,-12.92,-0.0312,0.1172,-0.1648
3.633941,1.777814,178.9063,-12.92,-0.0312,0.1172,-0.1648
3.344975,7.566799,-1.9303,-12.92,-0.0312,0.1172,-0.1648
3.379653,5.733058,-2.2011,-12.92,-0.0312,0.1172,-0.1648
3.344975,7.566799,-1.9303,-16.126,-0.0312,0.1172,-0.1648
4.329005,3.549098,168.3926,-16.126,-0.0312,0.1172,-0.1648
4.116959,4.074887,172.7698,-16.126,-0.0312,0.1172,-0.1648
4.437246,-2.515278,18.4107,-16.126,-0.0312,0.1172,-0.1648
3.907273,-7.214896,2.4387,-16.126,-0.0312,0.1172,-0.1648
4.841518,4.152535,163.3545,-15.52,-0.0312,0.1172,-0.1648
4.859261,4.06389,162.7836,-15.52,-0.0312,0.1172,-0.1648
4.961783,3.557527,159.0537,-15.52,-0.0312,0.1172,-0.1648
5.01467,3.338041,157.0326,-13.24,-0.0312,0.1172,-0.1648
4.599161,5.224627,169.1734,-13.24,-0.0312,0.1172,-0.1648
4.595641,5.249612,169.2608,-13.24,-0.0312,0.1172,-0.1648
4.397205,3.543351,167.3204,-13.24,-0.0312,0.1172,-0.1648
4.356159,3.700993,168.4527,-13.24,-0.0312,0.1172,-0.1648
4.391962,3.521246,167.3246,-8.2,-0.0312,0.1172,-0.1648
3.787393,8.497286,178.7366,-8.2,-0.0312,0.1172,-0.1648
4.39664,-4.5215,9.9924,-8.2,-0.0312,0.1172,-0.1648
4.274268,-5.430987,7.0772,-8.2,-0.0312,0.1172,-0.1648
4.19289,-6.197664,5.4645,-14.94,-0.0273,0.1367,-0.1647
4.007332,-8.435689,2.7645,-14.94,-0.0273,0.1367,-0.1647
4.054216,-7.604142,3.4184,-14.94,-0.0273,0.1367,-0.1647
4.177028,-4.568392,7.1988,-14.94,-0.0273,0.1367,-0.1647
4.083827,-5.42587,5.0956,-14.108,-0.0273,0.1367,-0.1647
4.001139,-6.371573,3.6025,-14.108,-0.0273,0.1367,-0.1647
3.888278,-8.008607,2.0615,-14.108,-0.0273,0.1367,-0.1647
3.99151,-4.960915,4.5124,-14.108,-0.0273,0.1367,-0.1647
3.978581,-5.110239,4.2369,-13.0,-0.0273,0.1367,-0.1647
4.205056,-2.16076,15.6433,-13.0,-0.0273,0.1367,-0.1647
3.931591,-4.130957,4.5893,-16.9,-0.0273,0.1367,-0.1647
3.92786,-4.172328,4.493,-16.9,-0.0273,0.1367,-0.1647
